group,threshold,paco2_bin,count,weight,tn_q025,tn_q50,tn_q975,fp_q025,fp_q50,fp_q975,fn_q025,fn_q50,fn_q975,tp_q025,tp_q50,tp_q975
ed_inp,45.0,44.0,4639,0.03848578871393254,0.7139316712321448,0.841773493687026,0.9296385931196589,0.07036140688034118,0.15822650631297394,0.28606832876785515,0.0,0.0,0.0,0.0,0.0,0.0
ed_inp,45.0,45.0,3744,0.03106074432958901,0.0,0.0,0.0,0.0,0.0,0.0,0.5635047784270789,0.7338618922213948,0.8688903265741375,0.13110967342586258,0.26613810777860525,0.43649522157292103
ed_inp,45.0,46.0,3812,0.03162488178001958,0.0,0.0,0.0,0.0,0.0,0.0,0.3835682199026755,0.5995758113085546,0.7858493138860189,0.2141506861139811,0.40042418869144536,0.6164317800973245
ed_inp,45.0,47.0,2941,0.024398944731122137,0.0,0.0,0.0,0.0,0.0,0.0,0.21853418975027786,0.45541123144917484,0.6877493420608337,0.3122506579391663,0.5445887685508252,0.7814658102497222
ed_inp,45.0,48.0,2952,0.024490202259868258,0.0,0.0,0.0,0.0,0.0,0.0,0.10247987957118619,0.3154386803080965,0.5693266105561682,0.4306733894438317,0.6845613196919035,0.8975201204288138
ed_inp,45.0,49.0,2326,0.019296819260316248,0.0,0.0,0.0,0.0,0.0,0.0,0.03869082403412239,0.19511658444550573,0.45134317530651596,0.548656824693484,0.8048834155544943,0.9613091759658776
ed_inp,45.0,50.0,2239,0.018575055169324197,0.0,0.0,0.0,0.0,0.0,0.0,0.011363393259352265,0.11114774032355251,0.3378986921401883,0.6621013078598116,0.8888522596764474,0.9886366067406477
ed_inp,45.0,51.0,1794,0.014883273324594734,0.0,0.0,0.0,0.0,0.0,0.0,0.0026786014027579967,0.05651940221535123,0.2353189099215458,0.7646810900784542,0.9434805977846488,0.997321398597242
ed_inp,45.0,52.0,1769,0.01467586985017173,0.0,0.0,0.0,0.0,0.0,0.0,0.0005070640668949745,0.025051015864549386,0.15615543215378042,0.8438445678462195,0.9749489841354506,0.9994929359331051
ed_inp,45.0,53.0,1437,0.011921551709834242,0.0,0.0,0.0,0.0,0.0,0.0,7.30015824639496e-05,0.010041061147169239,0.09927776958540303,0.900722230414597,0.9899589388528307,0.9999269984175361
ed_inp,45.0,54.0,1327,0.011008976422373027,0.0,0.0,0.0,0.0,0.0,0.0,8.243176844335842e-06,0.0036511164340298774,0.05863157907441182,0.9413684209255881,0.9963488835659702,0.9999917568231557
ed_inp,45.0,55.0,1042,0.008644576813950788,0.0,0.0,0.0,0.0,0.0,0.0,7.429684898363486e-07,0.0011338106452516983,0.032862489276298396,0.9671375107237016,0.9988661893547484,0.9999992570315102
ed_inp,45.0,56.0,996,0.00826295442101246,0.0,0.0,0.0,0.0,0.0,0.0,5.139399834597214e-08,0.0003104624594398864,0.017294865822594666,0.9827051341774053,0.9996895375405601,0.9999999486060016
ed_inp,45.0,57.0,807,0.006694984154374554,0.0,0.0,0.0,0.0,0.0,0.0,2.745204694121206e-09,7.333998883213289e-05,0.007936548151920058,0.99206345184808,0.9999266600111678,0.9999999972547953
ed_inp,45.0,58.0,770,0.006388027012228509,0.0,0.0,0.0,0.0,0.0,0.0,1.193842885660601e-10,1.4921382037846875e-05,0.0034105532069568234,0.9965894467930432,0.9999850786179622,0.9999999998806157
