group,bin_center,count,weight,density,true_threshold,borderline_lower,borderline_upper
ed_inp,56.0,996,0.00826295442101246,0.00826295442101246,45.0,40.0,50.0
ed_inp,57.0,807,0.006694984154374554,0.006694984154374554,45.0,40.0,50.0
ed_inp,58.0,770,0.006388027012228509,0.006388027012228509,45.0,40.0,50.0
ed_inp,59.0,711,0.00589855481259022,0.00589855481259022,45.0,40.0,50.0
ed_inp,60.0,645,0.005351009640113491,0.005351009640113491,45.0,40.0,50.0
ed_inp,61.0,516,0.004280807712090793,0.004280807712090793,45.0,40.0,50.0
ed_inp,62.0,553,0.004587764854236838,0.004587764854236838,45.0,40.0,50.0
ed_inp,63.0,467,0.003874296902221706,0.003874296902221706,45.0,40.0,50.0
ed_inp,64.0,423,0.00350926678723722,0.00350926678723722,45.0,40.0,50.0
ed_inp,65.0,343,0.0028455756690836083,0.0028455756690836083,45.0,40.0,50.0
ed_inp,66.0,377,0.003127644394298893,0.003127644394298893,45.0,40.0,50.0
ed_inp,67.0,296,0.0024556571371683617,0.0024556571371683617,45.0,40.0,50.0
ed_inp,68.0,329,0.0027294297234067267,0.0027294297234067267,45.0,40.0,50.0
ed_inp,69.0,268,0.002223365245814598,0.002223365245814598,45.0,40.0,50.0
ed_inp,70.0,279,0.0023146227745607195,0.0023146227745607195,45.0,40.0,50.0
ed_inp,71.0,228,0.0018915196867377922,0.0018915196867377922,45.0,40.0,50.0
ed_inp,72.0,237,0.0019661849375300737,0.0019661849375300737,45.0,40.0,50.0
ed_inp,73.0,189,0.0015679702666379068,0.0015679702666379068,45.0,40.0,50.0
ed_inp,74.0,174,0.0014435281819841046,0.0014435281819841046,45.0,40.0,50.0
ed_inp,75.0,161,0.0013356783752841428,0.0013356783752841428,45.0,40.0,50.0
ed_inp,76.0,142,0.0011780517347226602,0.0011780517347226602,45.0,40.0,50.0
ed_inp,77.0,158,0.0013107899583533823,0.0013107899583533823,45.0,40.0,50.0
ed_inp,78.0,129,0.0010702019280226982,0.0010702019280226982,45.0,40.0,50.0
ed_inp,79.0,134,0.001111682622907299,0.001111682622907299,45.0,40.0,50.0
ed_inp,80.0,119,0.0009872405382534968,0.0009872405382534968,45.0,40.0,50.0
ed_inp,81.0,121,0.001003832816207337,0.001003832816207337,45.0,40.0,50.0
ed_inp,82.0,105,0.0008710945925766148,0.0008710945925766148,45.0,40.0,50.0
ed_inp,83.0,108,0.0008959830095073753,0.0008959830095073753,45.0,40.0,50.0
ed_inp,84.0,102,0.0008462061756458544,0.0008462061756458544,45.0,40.0,50.0
ed_inp,85.0,85,0.000705171813038212,0.000705171813038212,45.0,40.0,50.0
ed_inp,86.0,83,0.0006885795350843717,0.0006885795350843717,45.0,40.0,50.0
ed_inp,87.0,77,0.0006388027012228509,0.0006388027012228509,45.0,40.0,50.0
ed_inp,88.0,88,0.0007300602299689724,0.0007300602299689724,45.0,40.0,50.0
ed_inp,89.0,97,0.0008047254807612537,0.0008047254807612537,45.0,40.0,50.0
ed_inp,90.0,76,0.0006305065622459308,0.0006305065622459308,45.0,40.0,50.0
ed_inp,91.0,63,0.0005226567555459689,0.0005226567555459689,45.0,40.0,50.0
ed_inp,92.0,55,0.00045628764373060776,0.00045628764373060776,45.0,40.0,50.0
ed_inp,93.0,39,0.0003235494200998855,0.0003235494200998855,45.0,40.0,50.0
ed_inp,94.0,52,0.00043139922679984736,0.00043139922679984736,45.0,40.0,50.0
ed_inp,95.0,51,0.0004231030878229272,0.0004231030878229272,45.0,40.0,50.0
ed_inp,96.0,64,0.000530952894522889,0.000530952894522889,45.0,40.0,50.0
ed_inp,97.0,31,0.0002571803082845244,0.0002571803082845244,45.0,40.0,50.0
ed_inp,98.0,50,0.00041480694884600707,0.00041480694884600707,45.0,40.0,50.0
ed_inp,99.0,41,0.0003401416980537258,0.0003401416980537258,45.0,40.0,50.0
ed_inp,100.0,34,0.0002820687252152848,0.0002820687252152848,45.0,40.0,50.0
ed_inp,101.0,30,0.00024888416930760423,0.00024888416930760423,45.0,40.0,50.0
ed_inp,102.0,26,0.00021569961339992368,0.00021569961339992368,45.0,40.0,50.0
ed_inp,103.0,32,0.0002654764472614445,0.0002654764472614445,45.0,40.0,50.0
ed_inp,104.0,21,0.00017421891851532296,0.00017421891851532296,45.0,40.0,50.0
ed_inp,105.0,28,0.00023229189135376397,0.00023229189135376397,45.0,40.0,50.0
ed_inp,106.0,19,0.0001576266405614827,0.0001576266405614827,45.0,40.0,50.0
ed_inp,107.0,22,0.0001825150574922431,0.0001825150574922431,45.0,40.0,50.0
ed_inp,108.0,20,0.00016592277953840284,0.00016592277953840284,45.0,40.0,50.0
ed_inp,109.0,12,9.95536677230417e-05,9.95536677230417e-05,45.0,40.0,50.0
ed_inp,110.0,21,0.00017421891851532296,0.00017421891851532296,45.0,40.0,50.0
ed_inp,111.0,19,0.0001576266405614827,0.0001576266405614827,45.0,40.0,50.0
ed_inp,112.0,15,0.00012444208465380211,0.00012444208465380211,45.0,40.0,50.0
ed_inp,113.0,15,0.00012444208465380211,0.00012444208465380211,45.0,40.0,50.0
ed_inp,114.0,13,0.00010784980669996184,0.00010784980669996184,45.0,40.0,50.0
ed_inp,115.0,12,9.95536677230417e-05,9.95536677230417e-05,45.0,40.0,50.0
ed_inp,116.0,14,0.00011614594567688198,0.00011614594567688198,45.0,40.0,50.0
ed_inp,117.0,4,3.3184555907680565e-05,3.3184555907680565e-05,45.0,40.0,50.0
ed_inp,118.0,10,8.296138976920142e-05,8.296138976920142e-05,45.0,40.0,50.0
ed_inp,119.0,15,0.00012444208465380211,0.00012444208465380211,45.0,40.0,50.0
ed_inp,120.0,11,9.125752874612155e-05,9.125752874612155e-05,45.0,40.0,50.0
ed_inp,121.0,10,8.296138976920142e-05,8.296138976920142e-05,45.0,40.0,50.0
ed_inp,122.0,12,9.95536677230417e-05,9.95536677230417e-05,45.0,40.0,50.0
ed_inp,123.0,8,6.636911181536113e-05,6.636911181536113e-05,45.0,40.0,50.0
ed_inp,124.0,11,9.125752874612155e-05,9.125752874612155e-05,45.0,40.0,50.0
ed_inp,125.0,11,9.125752874612155e-05,9.125752874612155e-05,45.0,40.0,50.0
ed_inp,126.0,6,4.977683386152085e-05,4.977683386152085e-05,45.0,40.0,50.0
ed_inp,127.0,5,4.148069488460071e-05,4.148069488460071e-05,45.0,40.0,50.0
ed_inp,128.0,9,7.466525079228127e-05,7.466525079228127e-05,45.0,40.0,50.0
ed_inp,129.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
