group,paco2_bin,weight
ed_inp,155.0,3.3184555907680565e-05
ed_inp,156.0,1.6592277953840282e-05
ed_inp,157.0,2.4888416930760424e-05
ed_inp,158.0,1.6592277953840282e-05
ed_inp,159.0,4.977683386152085e-05
ed_inp,160.0,1.6592277953840282e-05
ed_inp,161.0,4.977683386152085e-05
ed_inp,162.0,1.6592277953840282e-05
ed_inp,163.0,8.296138976920141e-06
ed_inp,164.0,2.4888416930760424e-05
ed_inp,166.0,2.4888416930760424e-05
ed_inp,167.0,3.3184555907680565e-05
ed_inp,168.0,3.3184555907680565e-05
ed_inp,169.0,8.296138976920141e-06
ed_inp,170.0,1.6592277953840282e-05
ed_inp,171.0,1.6592277953840282e-05
ed_inp,172.0,1.6592277953840282e-05
ed_inp,173.0,2.4888416930760424e-05
ed_inp,174.0,1.6592277953840282e-05
ed_inp,176.0,8.296138976920141e-06
ed_inp,177.0,1.6592277953840282e-05
ed_inp,178.0,3.3184555907680565e-05
ed_inp,179.0,2.4888416930760424e-05
ed_inp,180.0,8.296138976920141e-06
ed_inp,181.0,8.296138976920141e-06
ed_inp,182.0,1.6592277953840282e-05
ed_inp,183.0,8.296138976920141e-06
ed_inp,184.0,4.977683386152085e-05
ed_inp,185.0,1.6592277953840282e-05
ed_inp,186.0,2.4888416930760424e-05
ed_inp,187.0,8.296138976920141e-06
ed_inp,188.0,1.6592277953840282e-05
ed_inp,189.0,2.4888416930760424e-05
ed_inp,190.0,8.296138976920141e-06
ed_inp,191.0,1.6592277953840282e-05
ed_inp,192.0,4.977683386152085e-05
ed_inp,193.0,1.6592277953840282e-05
ed_inp,194.0,1.6592277953840282e-05
ed_inp,195.0,2.4888416930760424e-05
ed_inp,197.0,1.6592277953840282e-05
ed_inp,198.0,1.6592277953840282e-05
ed_inp,199.0,8.296138976920141e-06
ed_inp,200.0,1.6592277953840282e-05
ed_inp,201.0,3.3184555907680565e-05
ed_inp,202.0,1.6592277953840282e-05
ed_inp,203.0,8.296138976920141e-06
ed_inp,204.0,1.6592277953840282e-05
ed_inp,205.0,1.6592277953840282e-05
ed_inp,206.0,4.148069488460071e-05
ed_inp,207.0,4.148069488460071e-05
ed_inp,208.0,1.6592277953840282e-05
ed_inp,209.0,3.3184555907680565e-05
ed_inp,210.0,8.296138976920141e-06
ed_inp,211.0,2.4888416930760424e-05
ed_inp,212.0,2.4888416930760424e-05
ed_inp,213.0,1.6592277953840282e-05
ed_inp,214.0,8.296138976920141e-06
ed_inp,215.0,1.6592277953840282e-05
ed_inp,218.0,1.6592277953840282e-05
ed_inp,219.0,1.6592277953840282e-05
ed_inp,220.0,1.6592277953840282e-05
ed_inp,221.0,1.6592277953840282e-05
ed_inp,223.0,8.296138976920141e-06
ed_inp,224.0,1.6592277953840282e-05
ed_inp,225.0,8.296138976920141e-06
ed_inp,226.0,1.6592277953840282e-05
ed_inp,227.0,8.296138976920141e-06
ed_inp,232.0,1.6592277953840282e-05
ed_inp,234.0,8.296138976920141e-06
ed_inp,235.0,2.4888416930760424e-05
ed_inp,237.0,8.296138976920141e-06
ed_inp,238.0,2.4888416930760424e-05
ed_inp,240.0,3.3184555907680565e-05
ed_inp,241.0,1.6592277953840282e-05
ed_inp,244.0,8.296138976920141e-06
ed_inp,245.0,8.296138976920141e-06
ed_inp,246.0,1.6592277953840282e-05
ed_inp,247.0,8.296138976920141e-06
ed_inp,248.0,8.296138976920141e-06
ed_inp,249.0,1.6592277953840282e-05
icu,7.0,5.996641880546894e-05
icu,8.0,0.0001199328376109
icu,9.0,0.0002248740705205
icu,10.0,0.0002548572799232
icu,11.0,0.0005097145598464
icu,12.0,0.0007495802350683
icu,13.0,0.000779563444471
icu,14.0,0.0010194291196929
icu,15.0,0.0010943871431998
icu,16.0,0.0020238666346845
icu,17.0,0.0022937155193091
icu,18.0,0.0027434636603502
icu,19.0,0.0029383545214679
icu,20.0,0.0043625569680978
icu,21.0,0.0051121372031662
icu,22.0,0.0067762053250179
icu,23.0,0.0079005756776205
icu,24.0,0.0104191652674502
icu,25.0,0.0116634684576637
icu,26.0,0.014901655073159
icu,27.0,0.0163108659150875
icu,28.0,0.0207333893019908
icu,29.0,0.0211831374430319
icu,30.0,0.0265651235308227
icu,31.0,0.0265501319261213
icu,32.0,0.0353502038858239
icu,33.0,0.0333863036699448
icu,34.0,0.0415117534180858
icu,35.0,0.0393229791316862
icu,36.0,0.0451397217558167
icu,37.0,0.0408071479971216
icu,38.0,0.0449148476852962
icu,39.0,0.0394279203645958
icu,40.0,0.0414967618133845
