group,paco2_bin,count,weight
ed_inp,94.0,52,0.00043139922679984736
ed_inp,95.0,51,0.0004231030878229272
ed_inp,96.0,64,0.000530952894522889
ed_inp,97.0,31,0.0002571803082845244
ed_inp,98.0,50,0.00041480694884600707
ed_inp,99.0,41,0.0003401416980537258
ed_inp,100.0,34,0.0002820687252152848
ed_inp,101.0,30,0.00024888416930760423
ed_inp,102.0,26,0.00021569961339992368
ed_inp,103.0,32,0.0002654764472614445
ed_inp,104.0,21,0.00017421891851532296
ed_inp,105.0,28,0.00023229189135376397
ed_inp,106.0,19,0.0001576266405614827
ed_inp,107.0,22,0.0001825150574922431
ed_inp,108.0,20,0.00016592277953840284
ed_inp,109.0,12,9.95536677230417e-05
ed_inp,110.0,21,0.00017421891851532296
ed_inp,111.0,19,0.0001576266405614827
ed_inp,112.0,15,0.00012444208465380211
ed_inp,113.0,15,0.00012444208465380211
ed_inp,114.0,13,0.00010784980669996184
ed_inp,115.0,12,9.95536677230417e-05
ed_inp,116.0,14,0.00011614594567688198
ed_inp,117.0,4,3.3184555907680565e-05
ed_inp,118.0,10,8.296138976920142e-05
ed_inp,119.0,15,0.00012444208465380211
ed_inp,120.0,11,9.125752874612155e-05
ed_inp,121.0,10,8.296138976920142e-05
ed_inp,122.0,12,9.95536677230417e-05
ed_inp,123.0,8,6.636911181536113e-05
ed_inp,124.0,11,9.125752874612155e-05
ed_inp,125.0,11,9.125752874612155e-05
ed_inp,126.0,6,4.977683386152085e-05
ed_inp,127.0,5,4.148069488460071e-05
ed_inp,128.0,9,7.466525079228127e-05
ed_inp,129.0,2,1.6592277953840282e-05
ed_inp,130.0,9,7.466525079228127e-05
ed_inp,131.0,6,4.977683386152085e-05
ed_inp,132.0,5,4.148069488460071e-05
ed_inp,133.0,2,1.6592277953840282e-05
ed_inp,135.0,3,2.4888416930760424e-05
ed_inp,136.0,4,3.3184555907680565e-05
ed_inp,138.0,2,1.6592277953840282e-05
ed_inp,139.0,3,2.4888416930760424e-05
ed_inp,140.0,5,4.148069488460071e-05
ed_inp,142.0,3,2.4888416930760424e-05
ed_inp,143.0,3,2.4888416930760424e-05
ed_inp,144.0,2,1.6592277953840282e-05
ed_inp,145.0,1,8.296138976920141e-06
ed_inp,146.0,2,1.6592277953840282e-05
ed_inp,147.0,6,4.977683386152085e-05
ed_inp,148.0,4,3.3184555907680565e-05
ed_inp,150.0,3,2.4888416930760424e-05
ed_inp,152.0,6,4.977683386152085e-05
ed_inp,153.0,6,4.977683386152085e-05
ed_inp,154.0,4,3.3184555907680565e-05
ed_inp,155.0,4,3.3184555907680565e-05
ed_inp,156.0,2,1.6592277953840282e-05
ed_inp,157.0,3,2.4888416930760424e-05
ed_inp,158.0,2,1.6592277953840282e-05
ed_inp,159.0,6,4.977683386152085e-05
ed_inp,160.0,2,1.6592277953840282e-05
ed_inp,161.0,6,4.977683386152085e-05
ed_inp,162.0,2,1.6592277953840282e-05
ed_inp,163.0,1,8.296138976920141e-06
ed_inp,164.0,3,2.4888416930760424e-05
ed_inp,166.0,3,2.4888416930760424e-05
ed_inp,167.0,4,3.3184555907680565e-05
ed_inp,168.0,4,3.3184555907680565e-05
ed_inp,169.0,1,8.296138976920141e-06
ed_inp,170.0,2,1.6592277953840282e-05
ed_inp,171.0,2,1.6592277953840282e-05
ed_inp,172.0,2,1.6592277953840282e-05
ed_inp,173.0,3,2.4888416930760424e-05
ed_inp,174.0,2,1.6592277953840282e-05
ed_inp,176.0,1,8.296138976920141e-06
ed_inp,177.0,2,1.6592277953840282e-05
ed_inp,178.0,4,3.3184555907680565e-05
ed_inp,179.0,3,2.4888416930760424e-05
ed_inp,180.0,1,8.296138976920141e-06
ed_inp,181.0,1,8.296138976920141e-06
ed_inp,182.0,2,1.6592277953840282e-05
ed_inp,183.0,1,8.296138976920141e-06
ed_inp,184.0,6,4.977683386152085e-05
ed_inp,185.0,2,1.6592277953840282e-05
ed_inp,186.0,3,2.4888416930760424e-05
ed_inp,187.0,1,8.296138976920141e-06
ed_inp,188.0,2,1.6592277953840282e-05
ed_inp,189.0,3,2.4888416930760424e-05
ed_inp,190.0,1,8.296138976920141e-06
ed_inp,191.0,2,1.6592277953840282e-05
ed_inp,192.0,6,4.977683386152085e-05
ed_inp,193.0,2,1.6592277953840282e-05
ed_inp,194.0,2,1.6592277953840282e-05
ed_inp,195.0,3,2.4888416930760424e-05
ed_inp,197.0,2,1.6592277953840282e-05
ed_inp,198.0,2,1.6592277953840282e-05
ed_inp,199.0,1,8.296138976920141e-06
ed_inp,200.0,2,1.6592277953840282e-05
ed_inp,201.0,4,3.3184555907680565e-05
ed_inp,202.0,2,1.6592277953840282e-05
ed_inp,203.0,1,8.296138976920141e-06
ed_inp,204.0,2,1.6592277953840282e-05
ed_inp,205.0,2,1.6592277953840282e-05
ed_inp,206.0,5,4.148069488460071e-05
ed_inp,207.0,5,4.148069488460071e-05
ed_inp,208.0,2,1.6592277953840282e-05
ed_inp,209.0,4,3.3184555907680565e-05
ed_inp,210.0,1,8.296138976920141e-06
ed_inp,211.0,3,2.4888416930760424e-05
ed_inp,212.0,3,2.4888416930760424e-05
ed_inp,213.0,2,1.6592277953840282e-05
ed_inp,214.0,1,8.296138976920141e-06
ed_inp,215.0,2,1.6592277953840282e-05
ed_inp,218.0,2,1.6592277953840282e-05
ed_inp,219.0,2,1.6592277953840282e-05
ed_inp,220.0,2,1.6592277953840282e-05
ed_inp,221.0,2,1.6592277953840282e-05
